aX,aY,aZ,gX,gY,gZ
0.834,0.481,-0.205,12.756,0.061,3.235
0.833,0.481,-0.202,13.245,-0.244,4.150
0.815,0.481,-0.183,13.000,-0.427,5.005
0.845,0.485,-0.215,15.991,0.427,6.531
0.838,0.482,-0.229,14.465,-0.122,6.470
0.831,0.491,-0.207,7.324,-1.099,5.310
0.821,0.485,-0.189,5.371,-1.099,4.150
0.831,0.478,-0.192,9.583,-0.549,3.418
0.835,0.473,-0.189,13.000,0.366,2.441
0.830,0.473,-0.184,13.123,1.099,1.221
0.825,0.475,-0.178,13.794,2.014,0.793
0.837,0.471,-0.190,15.625,3.113,1.648
0.827,0.461,-0.197,14.954,4.089,1.831
0.803,0.462,-0.176,12.939,5.066,2.136
0.801,0.456,-0.180,16.052,6.165,3.235
0.790,0.439,-0.181,20.142,6.958,4.700
0.785,0.433,-0.145,22.583,8.179,7.080
0.805,0.453,-0.094,27.161,10.925,9.949
0.801,0.478,-0.082,35.400,19.226,12.085
0.795,0.505,-0.040,40.527,30.273,12.268
0.802,0.566,-0.032,41.748,43.762,10.010
0.786,0.596,-0.050,42.297,61.279,6.042
0.732,0.602,-0.093,36.438,77.515,0.000
0.653,0.624,-0.102,23.987,91.797,-5.615
0.507,0.632,-0.130,13.306,104.248,-10.376
0.352,0.639,-0.185,2.441,111.755,-14.771
0.138,0.579,-0.292,-5.005,113.281,-19.653
-0.146,0.479,-0.441,-8.972,104.614,-22.583
-0.431,0.347,-0.698,1.770,79.102,-14.282
-0.722,0.162,-0.989,25.696,26.611,10.559
-1.008,0.074,-1.204,58.289,-56.641,59.143
-1.173,0.223,-1.120,76.294,-167.969,124.451
-1.311,0.454,-0.750,98.755,-281.067,178.833
-1.526,0.612,-0.893,121.033,-373.047,201.721
-1.891,0.668,-1.108,129.211,-485.901,194.641
-2.309,0.715,-0.880,98.999,-623.718,166.809
-2.705,0.656,-0.471,84.106,-760.132,124.573
-3.022,0.512,0.019,107.666,-875.244,73.059
-3.136,0.327,0.504,142.761,-962.708,29.785
-3.104,0.354,0.924,159.119,-1018.250,17.273
-3.101,0.616,1.198,143.188,-1046.509,37.781
-2.937,0.794,1.513,112.122,-1047.913,57.251
-2.550,0.953,1.858,84.167,-1016.418,64.453
-2.125,1.133,2.196,68.665,-955.811,77.576
-1.644,1.306,2.535,58.655,-873.047,79.041
-1.095,1.464,2.721,57.983,-765.503,69.641
-0.835,1.529,2.687,62.866,-644.470,43.091
-0.593,1.522,2.589,56.335,-528.320,0.000
-0.667,1.400,2.482,55.176,-435.791,-41.016
-0.844,1.238,2.381,34.485,-367.187,-59.021
-0.995,0.942,2.275,20.569,-302.795,-78.430
