aX,aY,aZ,gX,gY,gZ
0.687,-0.680,0.317,1.648,-0.916,-13.489
0.686,-0.679,0.318,0.671,-1.160,-12.695
0.685,-0.694,0.304,0.305,-0.488,-12.573
0.685,-0.708,0.302,2.625,-1.221,-12.207
0.683,-0.708,0.318,2.686,-2.625,-11.292
0.686,-0.703,0.324,2.563,-3.052,-10.376
0.684,-0.697,0.313,1.648,-2.502,-9.644
0.686,-0.692,0.304,1.282,-2.869,-9.094
0.682,-0.686,0.311,0.671,-4.333,-9.033
0.682,-0.693,0.333,0.671,-5.676,-9.277
0.683,-0.705,0.341,1.587,-5.981,-9.644
0.682,-0.717,0.333,0.916,-5.066,-9.521
0.685,-0.731,0.318,-0.061,-4.456,-9.155
0.684,-0.741,0.313,0.732,-5.493,-8.057
0.684,-0.741,0.323,2.014,-6.958,-6.409
0.684,-0.737,0.333,2.258,-7.874,-4.822
0.685,-0.736,0.328,2.136,-8.301,-4.028
0.686,-0.751,0.319,1.465,-8.484,-3.418
0.685,-0.775,0.303,2.502,-9.216,-2.930
0.684,-0.796,0.304,4.944,-11.230,-0.916
0.683,-0.807,0.324,6.470,-14.160,1.953
0.684,-0.810,0.334,8.179,-16.235,5.371
0.686,-0.807,0.325,12.390,-17.212,9.277
0.687,-0.813,0.311,17.334,-18.738,13.062
0.687,-0.820,0.300,23.865,-20.874,16.479
0.692,-0.835,0.274,35.156,-24.414,20.508
0.808,-0.859,0.231,42.297,-28.503,24.414
0.651,-0.964,0.148,50.049,-32.043,25.940
0.783,-0.962,0.156,55.481,-41.748,29.541
0.641,-1.105,0.225,55.542,-52.002,32.104
0.596,-1.121,0.236,75.928,-58.167,44.373
0.560,-1.059,0.240,79.224,-65.430,62.927
0.523,-0.940,0.355,89.966,-76.599,73.914
0.494,-0.857,0.261,128.662,-89.600,83.923
0.439,-0.650,0.431,101.135,-96.313,83.069
0.362,-0.452,0.622,60.547,-101.929,82.336
0.279,-0.224,0.965,58.777,-98.511,73.425
0.196,0.099,1.596,11.841,-76.599,60.364
0.118,0.674,2.285,-32.288,-25.085,46.387
-0.205,1.591,3.094,-26.855,51.819,37.231
-0.687,2.617,3.988,42.725,147.095,15.686
-1.542,2.875,4.000,123.108,280.640,-54.260
-3.204,2.075,4.000,148.315,489.990,-184.326
-4.000,1.711,4.000,141.541,733.521,-281.555
-4.000,2.004,3.210,124.634,956.238,-354.187
-4.000,1.899,0.637,95.581,1076.538,-472.168
-4.000,0.965,-0.903,82.764,1063.843,-629.944
-4.000,-0.221,-1.619,79.102,978.088,-750.244
-4.000,-1.401,-1.801,-6.775,880.005,-797.729
-4.000,-2.233,-2.214,-73.486,812.134,-784.302
-4.000,-2.810,-2.649,-108.398,752.014,-735.413
-3.702,-3.484,-2.870,-166.077,674.072,-681.824
-3.180,-4.000,-3.337,-169.189,604.858,-611.450
-2.611,-4.000,-3.887,-214.172,523.865,-508.057
-1.900,-4.000,-3.990,-203.735,380.127,-371.155
-1.459,-3.686,-3.063,-54.749,190.125,-184.692
-1.307,-1.863,-1.489,84.045,32.959,-25.024
-1.127,-0.747,-0.308,115.723,-29.846,30.884
-1.008,-0.285,-0.043,67.139,-15.015,20.264
-0.925,-0.405,-0.422,17.151,17.761,-12.268
-0.844,-0.927,-0.779,-18.616,21.301,-42.725
-0.790,-1.304,-0.885,-26.733,-2.319,-46.143
-0.748,-1.406,-0.821,-15.442,-31.311,-27.588
-0.719,-1.404,-0.735,-3.479,-52.856,-5.676
-0.730,-1.411,-0.604,3.052,-66.345,9.644
-0.734,-1.325,-0.424,18.799,-73.669,24.963
-0.710,-1.132,-0.265,37.476,-73.792,41.077
-0.728,-0.942,-0.161,41.016,-65.369,51.941
-0.687,-0.772,-0.099,36.865,-53.650,54.504
-0.671,-0.662,-0.160,27.832,-38.879,50.720
-0.657,-0.740,-0.260,11.963,-26.917,36.438
-0.638,-0.955,-0.374,-2.625,-20.569,20.203
-0.626,-1.172,-0.503,-15.991,-17.578,12.695
-0.632,-1.324,-0.620,-23.315,-19.287,16.052
-0.707,-1.372,-0.647,-17.090,-26.978,27.466
-0.699,-1.310,-0.568,-0.671,-38.513,41.077
-0.695,-1.150,-0.513,12.634,-44.250,55.725
-0.672,-0.991,-0.471,13.672,-44.678,64.697
-0.633,-0.873,-0.431,13.428,-44.617,66.467
-0.592,-0.813,-0.410,12.695,-45.044,63.477
-0.562,-0.799,-0.387,9.460,-46.692,56.580
-0.541,-0.841,-0.362,7.019,-48.523,47.424
-0.527,-0.949,-0.332,4.639,-49.683,38.147
-0.523,-1.062,-0.306,3.418,-48.767,32.959
-0.509,-1.124,-0.287,3.601,-46.082,34.790
-0.505,-1.104,-0.264,2.930,-41.931,41.748
-0.493,-1.003,-0.262,3.784,-36.987,51.025
-0.432,-0.846,-0.276,0.671,-31.250,56.396
-0.469,-0.793,-0.281,-13.794,-24.841,52.917
-0.402,-0.696,-0.334,-13.184,-22.156,50.720
-0.385,-0.680,-0.397,-9.033,-23.437,43.823
-0.385,-0.732,-0.399,-11.780,-28.198,31.677
-0.381,-0.799,-0.334,-10.071,-36.316,22.400
-0.377,-0.845,-0.243,-9.399,-41.138,16.113
-0.411,-0.914,-0.167,-13.245,-40.405,12.756
-0.390,-0.885,-0.107,-4.211,-38.025,16.663
-0.392,-0.848,-0.087,0.610,-31.921,18.799
-0.391,-0.801,-0.085,-2.563,-24.048,18.433
-0.386,-0.768,-0.106,-4.517,-16.785,15.747
-0.387,-0.763,-0.140,-6.470,-11.047,11.108
-0.390,-0.780,-0.173,-6.958,-7.568,5.615
-0.392,-0.811,-0.197,-5.737,-6.348,0.488
-0.392,-0.849,-0.210,-3.845,-6.287,-3.296
-0.396,-0.887,-0.220,-3.662,-6.042,-5.310
-0.400,-0.922,-0.234,-3.113,-5.737,-6.165
-0.409,-0.941,-0.238,-1.709,-5.859,-5.432
-0.406,-0.934,-0.226,-0.610,-6.653,-3.845
-0.411,-0.911,-0.213,-1.099,-6.348,-2.380
-0.409,-0.895,-0.203,-2.747,-5.737,-1.831
-0.403,-0.893,-0.199,-3.723,-4.639,-1.953
-0.404,-0.895,-0.195,-4.517,-3.784,-2.747
-0.403,-0.871,-0.184,-6.897,-2.869,-3.906
-0.408,-0.914,-0.186,-7.996,-2.136,-6.287
-0.405,-0.906,-0.184,-4.333,-2.258,-4.700
-0.408,-0.931,-0.181,-3.052,-2.014,-5.127
-0.407,-0.952,-0.180,-2.625,-1.343,-5.493
-0.404,-0.954,-0.188,-2.136,-0.183,-3.967
-0.406,-0.942,-0.208,-2.686,2.014,-2.441
-0.405,-0.922,-0.229,-2.686,3.906,-0.916
-0.437,-1.672,0.080,-39.001,0.427,154.236
-0.409,-1.680,0.031,-25.452,2.197,166.870
-0.418,-1.645,0.003,-34.241,3.845,180.237
-0.398,-1.596,-0.002,-37.476,3.906,195.984
-0.380,-1.496,0.029,-29.724,0.793,213.623
-0.355,-1.397,0.072,-27.588,0.000,228.455
-0.327,-1.316,0.067,-18.188,2.380,238.281
-0.299,-1.227,0.039,-5.493,4.333,246.216
-0.263,-1.131,0.018,4.639,3.662,252.563
-0.215,-1.037,0.002,15.259,0.305,257.019
-0.166,-0.943,0.011,17.151,-4.639,258.911
-0.059,-0.853,0.041,11.108,-10.193,257.263
-0.087,-0.808,0.102,7.446,-13.306,253.296
-0.020,-0.726,0.099,10.986,-13.367,248.718
0.039,-0.681,0.128,-4.028,-17.029,241.699
0.129,-0.724,0.156,-30.945,-18.005,228.149
0.169,-0.828,0.170,-55.786,-16.418,214.722
0.201,-0.873,0.189,-63.171,-15.076,210.999
0.244,-0.841,0.150,-63.477,-13.306,213.989
0.280,-0.812,0.058,-72.449,-9.338,215.637
0.314,-0.794,-0.057,-79.712,-8.179,215.698
0.333,-0.756,-0.136,-65.491,-15.686,217.346
0.322,-0.694,-0.126,-35.889,-32.715,219.116
0.333,-0.653,-0.016,-24.048,-53.528,220.093
0.393,-0.564,0.131,-39.124,-68.054,220.215
0.412,-0.466,0.167,-42.236,-71.167,218.079
0.458,-0.416,0.141,-50.415,-71.106,210.205
0.485,-0.456,0.080,-75.073,-71.716,197.449
0.492,-0.557,0.037,-92.834,-77.087,182.861
0.474,-0.594,0.010,-86.975,-85.815,176.697
0.451,-0.572,0.026,-64.148,-97.168,178.711
0.404,-0.528,0.095,-40.955,-111.145,181.274
0.338,-0.437,0.235,-29.236,-123.169,180.420
0.278,-0.366,0.383,-15.137,-129.822,173.340
0.113,-0.355,0.304,9.277,-129.700,162.842
0.102,-0.192,0.566,22.583,-141.296,160.461
-0.055,0.089,0.880,58.044,-149.475,160.400
-0.266,0.475,1.239,116.699,-144.104,153.320
-0.559,1.024,2.004,128.723,-128.418,135.315
-0.785,1.956,3.098,89.661,-85.693,107.483
-1.558,3.395,4.000,64.575,-1.770,63.660
-2.839,4.000,4.000,46.936,119.019,-37.720
-4.000,4.000,4.000,-76.599,326.782,-224.426
-4.000,4.000,4.000,-139.343,651.733,-439.697
-4.000,3.648,4.000,-143.066,957.520,-678.101
-4.000,2.140,2.782,-104.492,1107.910,-889.587
-4.000,1.021,0.927,-11.658,1101.868,-1010.254
-4.000,0.406,-0.315,138.855,1043.274,-1040.527
-4.000,-0.311,-1.311,217.590,984.802,-1030.518
-4.000,-1.296,-2.339,167.542,928.345,-1012.756
-4.000,-3.046,-2.367,25.452,828.186,-1012.573
-4.000,-4.000,-1.689,-25.452,711.670,-945.923
-4.000,-4.000,-2.661,26.001,706.787,-725.769
-4.000,-2.866,-4.000,40.161,735.229,-443.420
-4.000,-1.435,-4.000,39.001,640.747,-292.908
-3.225,-1.582,-4.000,57.678,419.495,-281.860
-2.653,-1.790,-3.937,78.735,180.542,-270.813
-2.281,-1.412,-2.119,88.074,29.175,-214.539
